idno,gincdif,nuts2,wkhtot,agea,cntry,eqi21_n2,eqi21_n2_lowME,eqi21_n2_highME,inc_redist,resp_ed,fath_ed,moth_ed,educ_mob_father,educ_mob_mother,educ_mob_avg,educ_mob_avg_category,EQI,domicile,unemp_nuts2,equality_importance,social_ties,gen_trust,gov_trust,income_decile,gender,union_member,child_ever,marital_status,unemp_ever,cntry_name,educ_mob_avg_bins
10055,3,BE33,42.0,58,Belgium,0.154,-0.077615,0.385615,2,5.0,4.0,4.0,7.0,7.0,7.0,2,2,4.0,3,1,2,2,2.0,7,0,0.0,0.0,,0.0,Belgium,Moderate
10064,2,BE24,40.0,61,Belgium,0.557,0.2524540000000001,0.861546,1,6.0,5.0,5.0,7.0,7.0,7.0,2,3,2.0,1,1,4,1,3.0,6,0,1.0,0.0,0.0,1.0,Belgium,Moderate
10077,3,BE23,39.0,46,Belgium,0.679,0.275555,1.082445,2,4.0,1.0,1.0,9.0,9.0,9.0,2,3,1.0,0,1,4,2,2.0,6,1,1.0,,,1.0,Belgium,Very High
10079,2,BE32,38.0,70,Belgium,0.122,-0.078713,0.322713,1,2.0,3.0,0.0,5.0,8.0,6.5,2,2,4.0,4,1,0,1,0.0,9,1,0.0,1.0,2.0,1.0,Belgium,Moderate
10088,2,BE25,45.0,54,Belgium,0.745,0.353999,1.136001,1,6.0,1.0,0.0,11.0,12.0,11.5,2,3,3.0,0,2,3,2,1.0,9,0,0.0,,,0.0,Belgium,Very High
10104,2,BE32,37.0,83,Belgium,0.122,-0.078713,0.322713,1,3.0,0.0,3.0,9.0,6.0,7.5,2,2,4.0,4,1,2,3,3.0,5,0,0.0,0.0,3.0,1.0,Belgium,High
10107,4,BE21,,29,Belgium,0.478,0.153449,0.802551,3,0.0,0.0,0.0,6.0,6.0,6.0,0,3,1.0,1,2,1,1,2.0,,0,1.0,0.0,0.0,1.0,Belgium,Low
10145,3,BE25,38.0,62,Belgium,0.745,0.353999,1.136001,2,1.0,6.0,6.0,1.0,1.0,1.0,1,3,2.0,0,2,4,3,2.0,3,0,1.0,0.0,0.0,0.0,Belgium,Low
10220,2,BE35,43.0,43,Belgium,0.492,0.293487,0.6905129999999999,1,3.0,0.0,1.0,9.0,8.0,8.5,2,3,3.0,2,1,4,2,2.0,4,0,0.0,,0.0,0.0,Belgium,High
10249,2,BE25,40.0,33,Belgium,0.745,0.353999,1.136001,1,6.0,6.0,6.0,6.0,6.0,6.0,0,3,4.0,0,1,3,3,3.0,10,1,1.0,0.0,,0.0,Belgium,Low
10283,4,BE25,40.0,33,Belgium,0.745,0.353999,1.136001,3,5.0,4.0,4.0,7.0,7.0,7.0,2,3,4.0,0,1,4,2,0.0,9,0,0.0,,,0.0,Belgium,Moderate
10288,1,BE21,40.0,64,Belgium,0.478,0.153449,0.802551,1,0.0,0.0,0.0,6.0,6.0,6.0,0,3,1.0,1,1,1,3,2.0,1,0,1.0,,,1.0,Belgium,Low
10295,2,BE22,,50,Belgium,0.739,0.451199,1.026801,1,6.0,3.0,3.0,9.0,9.0,9.0,2,3,4.0,1,1,4,3,1.0,6,1,0.0,,,1.0,Belgium,Very High
10297,1,BE24,37.0,48,Belgium,0.557,0.2524540000000001,0.861546,1,3.0,1.0,1.0,8.0,8.0,8.0,2,3,4.0,1,2,5,2,2.0,7,0,1.0,,,0.0,Belgium,High
10302,3,BE23,35.0,80,Belgium,0.679,0.275555,1.082445,2,5.0,3.0,1.0,8.0,10.0,9.0,2,3,3.0,0,1,3,2,2.0,6,1,0.0,1.0,,0.0,Belgium,Very High
10334,2,BE22,12.0,45,Belgium,0.739,0.451199,1.026801,1,6.0,5.0,5.0,7.0,7.0,7.0,2,3,4.0,1,1,3,2,3.0,,1,0.0,,,0.0,Belgium,Moderate
10393,1,BE24,48.0,55,Belgium,0.557,0.2524540000000001,0.861546,1,2.0,0.0,0.0,8.0,8.0,8.0,2,3,4.0,1,1,2,2,3.0,,1,0.0,1.0,,1.0,Belgium,High
10398,1,BE23,38.0,35,Belgium,0.679,0.275555,1.082445,1,6.0,3.0,3.0,9.0,9.0,9.0,2,3,4.0,0,1,4,2,1.0,7,1,0.0,,0.0,0.0,Belgium,Very High
10401,2,BE32,31.0,64,Belgium,0.122,-0.078713,0.322713,1,6.0,6.0,6.0,6.0,6.0,6.0,0,2,3.0,4,1,3,3,2.0,6,0,0.0,1.0,1.0,0.0,Belgium,Low
10439,4,BE31,,25,Belgium,0.459,0.160079,0.7579210000000001,3,3.0,5.0,5.0,4.0,4.0,4.0,1,3,2.0,2,1,4,2,3.0,10,1,0.0,0.0,0.0,0.0,Belgium,Low
10442,2,BE31,40.0,51,Belgium,0.459,0.160079,0.7579210000000001,1,4.0,5.0,5.0,5.0,5.0,5.0,1,3,3.0,2,2,3,2,2.0,5,0,0.0,,2.0,0.0,Belgium,Low
10445,2,BE10,70.0,44,Belgium,-0.218,-0.518527,0.082527,1,6.0,5.0,5.0,7.0,7.0,7.0,2,1,3.0,5,1,4,3,1.0,8,1,0.0,,,0.0,Belgium,Moderate
10460,1,BE24,40.0,44,Belgium,0.557,0.2524540000000001,0.861546,1,6.0,3.0,3.0,9.0,9.0,9.0,2,3,4.0,1,1,4,3,3.0,9,1,1.0,,0.0,0.0,Belgium,Very High
10466,2,BE10,3.0,53,Belgium,-0.218,-0.518527,0.082527,1,6.0,3.0,3.0,9.0,9.0,9.0,2,1,3.0,5,1,4,2,,1,1,0.0,1.0,,0.0,Belgium,Very High
10484,2,BE21,45.0,25,Belgium,0.478,0.153449,0.802551,1,6.0,6.0,6.0,6.0,6.0,6.0,0,3,3.0,1,1,5,3,3.0,10,1,0.0,0.0,0.0,0.0,Belgium,Low
10494,4,BE24,38.0,78,Belgium,0.557,0.2524540000000001,0.861546,3,3.0,0.0,0.0,9.0,9.0,9.0,2,3,4.0,1,1,2,1,2.0,5,1,0.0,1.0,,0.0,Belgium,Very High
10516,1,BE33,50.0,54,Belgium,0.154,-0.077615,0.385615,1,3.0,0.0,0.0,9.0,9.0,9.0,2,2,4.0,3,1,4,1,2.0,7,0,1.0,,,1.0,Belgium,Very High
10526,1,BE33,80.0,68,Belgium,0.154,-0.077615,0.385615,1,3.0,0.0,0.0,9.0,9.0,9.0,2,2,2.0,3,1,1,0,3.0,6,0,1.0,,,1.0,Belgium,Very High
10557,4,BE23,60.0,26,Belgium,0.679,0.275555,1.082445,3,6.0,1.0,6.0,11.0,6.0,8.5,2,3,4.0,0,1,2,2,1.0,10,0,0.0,0.0,0.0,0.0,Belgium,High
10558,2,BE21,,75,Belgium,0.478,0.153449,0.802551,1,2.0,0.0,0.0,8.0,8.0,8.0,2,3,4.0,1,1,0,3,,3,1,0.0,1.0,3.0,0.0,Belgium,High
10567,4,BE24,70.0,37,Belgium,0.557,0.2524540000000001,0.861546,3,6.0,5.0,4.0,7.0,8.0,7.5,2,3,2.0,1,1,5,3,3.0,10,0,0.0,,,0.0,Belgium,High
10598,2,BE22,38.0,59,Belgium,0.739,0.451199,1.026801,1,5.0,3.0,1.0,8.0,10.0,9.0,2,3,4.0,1,1,4,3,2.0,5,0,1.0,1.0,,0.0,Belgium,Very High
10603,3,BE23,38.0,32,Belgium,0.679,0.275555,1.082445,2,4.0,1.0,0.0,9.0,10.0,9.5,2,3,4.0,0,1,4,2,3.0,3,0,1.0,,,0.0,Belgium,Very High
10611,2,BE32,38.0,50,Belgium,0.122,-0.078713,0.322713,1,5.0,0.0,0.0,11.0,11.0,11.0,2,2,3.0,4,1,2,2,2.0,8,0,0.0,,,0.0,Belgium,Very High
10621,4,BE23,36.0,80,Belgium,0.679,0.275555,1.082445,3,3.0,0.0,0.0,9.0,9.0,9.0,2,3,2.0,0,2,4,2,3.0,6,0,0.0,0.0,,1.0,Belgium,Very High
10629,1,BE31,,50,Belgium,0.459,0.160079,0.7579210000000001,1,3.0,0.0,0.0,9.0,9.0,9.0,2,3,4.0,2,3,3,3,3.0,,0,1.0,0.0,2.0,0.0,Belgium,Very High
10644,1,BE10,45.0,39,Belgium,-0.218,-0.518527,0.082527,1,6.0,5.0,5.0,7.0,7.0,7.0,2,1,1.0,5,1,4,2,2.0,2,1,1.0,0.0,0.0,1.0,Belgium,Moderate
10648,2,BE10,60.0,43,Belgium,-0.218,-0.518527,0.082527,1,6.0,3.0,1.0,9.0,11.0,10.0,2,1,1.0,5,1,4,3,3.0,7,0,1.0,0.0,0.0,1.0,Belgium,Very High
10649,3,BE22,38.0,32,Belgium,0.739,0.451199,1.026801,2,3.0,2.0,5.0,7.0,4.0,5.5,1,3,1.0,1,2,4,1,1.0,6,0,1.0,,,1.0,Belgium,Low
10680,2,BE24,50.0,40,Belgium,0.557,0.2524540000000001,0.861546,1,6.0,5.0,5.0,7.0,7.0,7.0,2,3,3.0,1,1,4,2,3.0,9,0,0.0,,,0.0,Belgium,Moderate
10684,2,BE21,42.0,57,Belgium,0.478,0.153449,0.802551,1,6.0,5.0,5.0,7.0,7.0,7.0,2,3,4.0,1,1,3,3,1.0,10,0,0.0,,,0.0,Belgium,Moderate
10691,3,BE21,45.0,76,Belgium,0.478,0.153449,0.802551,2,5.0,1.0,0.0,10.0,11.0,10.5,2,3,4.0,1,1,4,2,1.0,4,0,0.0,1.0,,0.0,Belgium,Very High
10706,2,BE24,39.0,29,Belgium,0.557,0.2524540000000001,0.861546,1,5.0,2.0,5.0,9.0,6.0,7.5,2,3,4.0,1,1,4,2,2.0,8,1,0.0,,,0.0,Belgium,High
10735,1,BE22,36.0,47,Belgium,0.739,0.451199,1.026801,1,6.0,3.0,2.0,9.0,10.0,9.5,2,3,4.0,1,1,5,2,2.0,,1,0.0,,2.0,0.0,Belgium,Very High
10766,4,BE31,45.0,27,Belgium,0.459,0.160079,0.7579210000000001,3,6.0,5.0,3.0,7.0,9.0,8.0,2,3,3.0,2,1,5,3,2.0,7,0,0.0,0.0,0.0,0.0,Belgium,High
10802,2,BE33,70.0,62,Belgium,0.154,-0.077615,0.385615,1,5.0,6.0,5.0,5.0,6.0,5.5,1,2,4.0,3,1,5,2,2.0,7,1,0.0,1.0,,0.0,Belgium,Low
10827,2,BE23,35.0,39,Belgium,0.679,0.275555,1.082445,1,6.0,3.0,5.0,9.0,7.0,8.0,2,3,2.0,0,1,3,3,2.0,5,0,0.0,,0.0,1.0,Belgium,High
10831,2,BE23,70.0,81,Belgium,0.679,0.275555,1.082445,1,5.0,3.0,3.0,8.0,8.0,8.0,2,3,1.0,0,1,0,3,2.0,2,1,0.0,1.0,3.0,0.0,Belgium,High
10858,2,BE23,41.0,31,Belgium,0.679,0.275555,1.082445,1,5.0,6.0,6.0,5.0,5.0,5.0,1,3,4.0,0,1,4,3,2.0,7,0,0.0,,0.0,0.0,Belgium,Low
10875,1,BE31,60.0,61,Belgium,0.459,0.160079,0.7579210000000001,1,5.0,3.0,3.0,8.0,8.0,8.0,2,3,3.0,2,1,4,3,2.0,7,0,0.0,1.0,2.0,0.0,Belgium,High
10946,3,BE34,38.0,68,Belgium,0.513,0.338499,0.687501,2,3.0,1.0,0.0,8.0,9.0,8.5,2,3,4.0,2,1,3,2,2.0,6,1,1.0,0.0,2.0,0.0,Belgium,High
10958,2,BE21,32.0,32,Belgium,0.478,0.153449,0.802551,1,6.0,6.0,6.0,6.0,6.0,6.0,0,3,2.0,1,1,5,3,2.0,10,1,0.0,0.0,,1.0,Belgium,Low
10984,2,BE21,50.0,55,Belgium,0.478,0.153449,0.802551,1,1.0,1.0,0.0,6.0,7.0,6.5,2,3,1.0,1,2,3,2,0.0,5,0,0.0,,,1.0,Belgium,Moderate
11026,2,BE21,60.0,53,Belgium,0.478,0.153449,0.802551,1,2.0,0.0,0.0,8.0,8.0,8.0,2,3,5.0,1,1,3,2,3.0,8,0,0.0,,,0.0,Belgium,High
11039,1,BE23,42.0,32,Belgium,0.679,0.275555,1.082445,1,6.0,4.0,6.0,8.0,6.0,7.0,2,3,3.0,0,1,4,3,3.0,5,0,0.0,0.0,2.0,0.0,Belgium,Moderate
11045,1,BE25,38.0,31,Belgium,0.745,0.353999,1.136001,1,4.0,1.0,1.0,9.0,9.0,9.0,2,3,3.0,0,1,3,3,2.0,4,1,1.0,,0.0,0.0,Belgium,Very High
11108,3,BE34,24.0,60,Belgium,0.513,0.338499,0.687501,2,5.0,0.0,0.0,11.0,11.0,11.0,2,3,4.0,2,1,4,2,3.0,7,0,0.0,1.0,,0.0,Belgium,Very High
11112,2,BE22,30.0,47,Belgium,0.739,0.451199,1.026801,1,5.0,5.0,5.0,6.0,6.0,6.0,0,3,4.0,1,1,4,2,2.0,10,0,1.0,,,0.0,Belgium,Low
11120,3,BE10,43.0,42,Belgium,-0.218,-0.518527,0.082527,2,6.0,1.0,3.0,11.0,9.0,10.0,2,1,1.0,5,1,3,3,3.0,6,1,1.0,,2.0,1.0,Belgium,Very High
11143,2,BE23,48.0,77,Belgium,0.679,0.275555,1.082445,1,3.0,5.0,1.0,4.0,8.0,6.0,0,3,4.0,0,1,2,2,2.0,6,1,0.0,,,0.0,Belgium,Low
