idno,gincdif,nuts2,eisced,eiscedf,eiscedm,domicil,n2_unrao25_2022,wkhtot,ipeqopt,inprdsc,ppltrst,trstprl,gndr,agea,cntry,marsts,chldhhe,uemp3m,mbtru,hinctnta,c_gini_2022,c_effectiveness_2022,n2_unrao25_2020,n2_unrao25_2021,c_gini_2020,c_gini_2021,c_effectiveness_2020,c_effectiveness_2021,eqi21_n2,eqi21_n2_lowME,eqi21_n2_highME
10038,2,BE24,1,4,6.0,4,2.7,666,1,2,6,7,2,16,BE,6,2,2,3,88,24.9,1.2276587,3.1,3.1,25.4,24.1,1.078783,1.0870334,0.557,0.2524540000000001,0.861546
10053,3,BE24,7,7,7.0,4,2.7,40,2,4,3,5,2,24,BE,6,2,2,3,88,24.9,1.2276587,3.1,3.1,25.4,24.1,1.078783,1.0870334,0.557,0.2524540000000001,0.861546
10055,3,BE33,6,5,5.0,4,7.5,42,1,2,6,6,1,58,BE,66,2,2,2,7,24.9,1.2276587,6.8,8.1,25.4,24.1,1.078783,1.0870334,0.154,-0.077615,0.385615
10062,8,BE21,4,1,1.0,1,3.2,35,2,3,7,8,1,35,BE,4,1,1,3,7,24.9,1.2276587,3.5,4.2,25.4,24.1,1.078783,1.0870334,0.478,0.153449,0.802551
10064,2,BE24,7,6,6.0,2,2.7,40,2,4,3,7,1,61,BE,6,2,1,1,6,24.9,1.2276587,3.1,3.1,25.4,24.1,1.078783,1.0870334,0.557,0.2524540000000001,0.861546
10077,3,BE23,5,2,2.0,1,1.4,39,2,4,4,5,2,46,BE,66,6,1,1,6,24.9,1.2276587,2.2,2.1,25.4,24.1,1.078783,1.0870334,0.679,0.275555,1.082445
10079,2,BE32,3,4,1.0,4,8.5,38,1,0,1,0,2,70,BE,4,1,1,3,9,24.9,1.2276587,7.2,8.6,25.4,24.1,1.078783,1.0870334,0.122,-0.078713,0.322713
10088,2,BE25,7,2,1.0,3,1.9,45,3,3,6,3,1,54,BE,66,6,2,3,9,24.9,1.2276587,2.7,2.8,25.4,24.1,1.078783,1.0870334,0.745,0.353999,1.136001
10089,2,BE33,4,6,6.0,4,7.5,45,2,4,7,8,1,22,BE,6,2,2,3,5,24.9,1.2276587,6.8,8.1,25.4,24.1,1.078783,1.0870334,0.154,-0.077615,0.385615
10104,2,BE32,4,1,4.0,4,8.5,37,2,2,8,8,1,83,BE,5,2,1,2,5,24.9,1.2276587,7.2,8.6,25.4,24.1,1.078783,1.0870334,0.122,-0.078713,0.322713
10107,4,BE21,1,1,1.0,1,3.2,888,3,1,3,5,1,29,BE,6,2,1,1,88,24.9,1.2276587,3.5,4.2,25.4,24.1,1.078783,1.0870334,0.478,0.153449,0.802551
